run,t_end_days,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,days_per_year_after,bound_after
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om0,112420.0,0.9998140247023773,0.017167649604330888,23.45732870310905,282.290618264406,1.4306049871798832,0.22332453272377747,23.70168833365585,83.00347782631717,624.9962224050814,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om180,112420.0,0.9998140247023902,0.01716764960432567,23.45732870310905,282.2906182643924,0.7923239872915679,0.23316024696432677,21.015434260483964,271.22049837127014,257.60364075454197,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om270,112420.0,0.9998140247023867,0.017167649604321298,23.4573287031091,282.2906182644062,1.2306201758912432,0.12671124734595057,22.581199552910444,52.097455203989526,498.63623750451654,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om90,112420.0,0.9998140247024,0.017167649604315733,23.45732870310908,282.29061826439124,1.0166818183807187,0.2811479078892679,25.932117935208446,176.12114869988952,374.43408489382557,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om0,112420.0,0.9998140247023902,0.01716764960432567,23.45732870310905,282.2906182643924,0.7923239872915679,0.23316024696432677,21.015434260483964,271.22049837127014,257.60364075454197,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om180,112420.0,0.9998140247023907,0.01716764960432548,23.45732870310905,282.29061826439136,1.4306049866744706,0.22332453313773173,23.70168832560552,83.00347775856739,624.9962220738778,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om270,112420.0,0.9998140247024,0.017167649604315733,23.45732870310908,282.29061826439124,1.0166818177318506,0.28114790580774335,25.932117981665176,176.12114944395958,374.4340845353678,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om90,112420.0,0.9998140247023867,0.017167649604321298,23.4573287031091,282.2906182644062,1.2306201758912432,0.12671124734595057,22.581199552910444,52.097455203989526,498.63623750451654,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om0,112420.0,0.9998140247023867,0.017167649604321298,23.4573287031091,282.2906182644062,1.2306201758912432,0.12671124734595057,22.581199552910444,52.097455203989526,498.63623750451654,True
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om180,112420.0,0.9998140247024,0.017167649604315733,23.45732870310908,282.29061826439124,1.0166818177318506,0.28114790580774335,25.932117981665176,176.12114944395958,374.4340845353678,True
