run,body,state,a_sun_au,e_sun,a_bh_au,e_bh,r_from_bh_au,period_bh_days
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,Moon,solar,1.3371944184715856,0.24104400927520706,,,820.1100119080961,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,Neptune,solar,22.066079444352813,0.6765148879715617,,,836.3718072973606,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,Saturn,free,,,,,794.9332699321086,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,Uranus,solar,14.67902726586307,0.6079558571497491,,,839.3471019519644,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,Venus,solar,0.9655752521035662,0.17612189047042362,,,818.659888368561,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Earth,solar,0.6288999540185181,0.5667499857834759,,,819.8000207704797,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Jupiter,solar,91.57408831311557,0.9472194392331205,,,809.8913324311843,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Mars,solar,4.577191368393183,0.6328853698609629,,,824.7292763722425,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Mercury,solar,0.34930746544971375,0.5254766478319837,,,819.8841950267346,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Moon,solar,0.5845325240569261,0.5427502999402557,,,820.3884457377587,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Neptune,free,,,,,639.9407851499656,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Saturn,solar,5.689570784938529,0.764088261851009,,,823.062067920811,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Uranus,solar,43.58907946352766,0.6900445198074393,,,858.5610935172738,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,Venus,solar,0.4164206963227139,0.6906367525731394,,,819.97912803383,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Earth,solar,0.5913456779671955,0.6379374254561884,,,820.6193301225654,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Jupiter,solar,26.261213803554966,0.8177859357988156,,,806.4380165600047,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Mars,solar,7.992306784269694,0.7965610748519996,,,826.8133950234693,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Mercury,solar,0.2865531357450892,0.6247129483252657,,,820.2546845398645,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Moon,solar,0.7122290141764976,0.6911426857625603,,,820.0288446465134,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Neptune,free,,,,,650.7313501325025,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Saturn,solar,5.479946650981254,0.8020879074518041,,,824.15700013203,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Uranus,solar,75.92019974066966,0.7991590314219522,,,851.921309664654,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,Venus,solar,0.5183094762340624,0.3626430324335762,,,819.9349528858221,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Earth,solar,0.6317408693684966,0.5216659235745469,,,820.8251460994057,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Jupiter,solar,14.502793928393446,0.6785637325947986,,,829.749248685684,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Mars,solar,11.940182121651564,0.8793991649303875,,,829.7225515038484,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Mercury,solar,0.29695111424455956,0.4886534617191293,,,820.8605788565327,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Moon,solar,0.6897893928725374,0.5526622100160337,,,820.2512642705258,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Neptune,free,,,,,671.0742450480152,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Saturn,solar,5.405259154763006,0.8186323164497042,,,824.4800782835391,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Uranus,solar,299.06243260663433,0.9455493127715847,,,838.5518391823956,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,Venus,solar,0.5453883963532538,0.24802647018996893,,,820.9327869097432,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Earth,solar,0.7234235837535414,0.3103453000259687,,,821.1888922024624,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Jupiter,solar,9.77626238209844,0.5433478154803154,,,820.9915659985138,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Mars,solar,12.36696240163509,0.8735260295407639,,,827.4124353075844,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Mercury,solar,0.30866690910080175,0.390663533258991,,,820.5721339332689,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Moon,solar,0.6730859033276648,0.3141921970514629,,,820.5373303289939,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Neptune,free,,,,,701.2838958048437,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Saturn,solar,5.467971232761393,0.8075357046821022,,,822.135328458549,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Uranus,free,,,,,821.5975444282045,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,Venus,solar,0.5383991700750389,0.23910155389211651,,,820.4075789501798,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Earth,solar,0.7305011120902627,0.27292176643486005,,,821.2887324042458,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Jupiter,solar,7.455323238584483,0.40463000770585217,,,824.6850702544514,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Mars,solar,10.052378630799558,0.8501342500007153,,,828.8825199109724,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Mercury,solar,0.31270749149071797,0.3647760049805271,,,821.1655623194929,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Moon,solar,0.686735572901928,0.2728785444257217,,,821.3890697274519,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Neptune,free,,,,,743.1181327716473,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Saturn,solar,5.504966334070024,0.787419988699945,,,818.7872132776791,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Uranus,free,,,,,795.7214444571049,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,Venus,solar,0.5539070624115785,0.21388283083669038,,,821.4064355685418,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Earth,solar,0.7292218243660284,0.2643655201898174,,,821.4794870098483,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Jupiter,solar,5.836612772478549,0.3552814953349334,,,826.0161913293958,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Mars,solar,6.206080832278115,0.8169064880686251,,,818.2013670103564,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Mercury,solar,0.32832721056433783,0.3331635638303511,,,821.1263919257012,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Moon,solar,0.7597158103861034,0.2407368753413652,,,821.641405790417,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Neptune,solar,119.56654791851442,0.8308244035797143,,,797.5817518554223,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Saturn,solar,6.535202074919217,0.5288502688269957,,,819.1875924107582,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Uranus,free,,,,,775.31159802656,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,Venus,solar,0.5736486827626975,0.18743118591362787,,,821.0453253353354,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Earth,solar,0.7421626824420251,0.24645451084921788,,,820.3034610530767,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,Jupiter,solar,4.803671487181171,0.31554467554524773,,,824.1501728047695,
