run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,years_to_equilibrium,T_overshoot_K,max_hemis_asymmetry_K,max_hemis_asymmetry_year,final_hemis_asymmetry_K,iceline_start_deg,iceline_end_deg,iceline_migration_deg,iceline_peak_rate_deg_per_yr,T_year1_degC,T_final_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,1.2724309932693156,0.1480295777837539,22.3080720699022,141.3897021003132,524.2629280138665,17,0.0,10.270617495290946,2,0.0469711355532354,,,,,-2.229711122448226,-76.17857258449484,15.410447047192505,-91.62575903232862,4.44045612681194,1,0.25,0.0,0.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,1.1609965140046894,0.2712830388759514,21.568774546726893,187.0793154009193,456.92420402824064,19,0.0,9.434383497164035,1,0.010791851656748008,44.4270040008057,4.460843697873993,-39.96616030293171,17.049344569013492,5.029344510093777,-64.25450255661433,16.854111865028052,-79.7016890044481,4.526563578215295,2,0.25,0.0,0.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,0.8670418180609165,0.306074081003354,23.412151135416806,230.0485648579973,294.88851391044926,13,0.0,1.5004417264925962,4,0.756038465427082,75.16488841802429,90.0,14.83511158197571,14.83511158197571,25.162207632769185,52.21624108953723,22.339197912233168,36.769054641703455,5.496043269095795,2,0.25,0.0,0.0,120.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,0.7126726173071757,0.4446142746109841,24.63575351962269,246.55133242139345,219.75203169541024,13,0.0,5.94775602387638,2,1.539005152268004,81.4509211694784,90.0,8.549078830521594,8.549078830521594,38.67201950884922,92.82257334393407,23.351950791628312,77.3753868961003,6.368529632556215,2,0.25,0.0,0.0,135.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,1.4437831612991696,0.2190211151202896,21.52280020306777,141.46205282458726,633.6519109199864,16,0.0,10.484448746028477,1,0.05733848556778298,,,,,-9.869635253551682,-88.50407740944745,15.011619057247714,-103.95126385728122,4.677254508049604,1,0.25,0.0,0.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,0.6289017544362863,0.5667499018280256,24.63721379920013,254.14771193269357,182.16796203218323,13,0.0,9.83951199080164,2,1.9122312626244025,90.0,90.0,0.0,0.0,48.70718058197122,122.73255868436657,36.475537986242955,107.2853722365328,7.023468603178353,1,0.25,0.0,0.0,150.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,0.5913460801346785,0.6379363457500438,22.61473472220027,270.7643024726689,166.0964590075818,13,0.0,14.399798375815358,1,1.7549007057057224,90.0,90.0,0.0,0.0,54.53477035421773,140.26151528283037,40.516798094841306,124.8143288349966,7.198059057912554,1,0.25,0.0,0.0,165.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,0.6317414828764584,0.5216645060766804,23.075609112841317,300.12017916473167,183.40318929921605,13,0.0,14.876060675776074,1,1.2822685989221725,90.0,90.0,0.0,0.0,47.38397352324148,119.21317094746955,38.231750718311446,103.76598449963578,6.741626987071451,1,0.25,0.0,0.0,180.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,0.7234247493364551,0.3103432736565881,23.557638230091257,304.15814207269773,224.74385918947277,13,0.0,9.674010635118567,1,0.951530644421581,90.0,90.0,0.0,0.0,36.3555125525184,85.70093543290919,24.921134900934575,70.25374898507542,6.005885691188023,2,0.25,0.0,0.0,195.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,0.730504441611478,0.272924402776433,24.790628606491502,296.0315614075648,228.05105288721097,13,0.0,8.741631768999088,1,1.033088562476891,90.0,90.0,0.0,0.0,35.503841288821526,82.99535440135455,22.648089301837047,67.54816795352077,5.789981707499541,2,0.25,0.0,0.0,210.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,0.7292233098388674,0.2643638209762485,25.53780844098153,293.0404019088087,227.45139469386584,13,0.0,8.566545315906726,1,1.070305181465855,90.0,90.0,0.0,0.0,35.55044471270889,83.09642617189589,22.578037231216555,67.64923972406211,5.51319745521436,1,0.25,0.0,0.0,225.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,0.7421654369816182,0.2464558609261114,25.811523533862964,295.77442764056093,233.5333332552369,13,0.0,8.260176553743559,1,0.9864318808587882,90.0,90.0,0.0,0.0,34.35302626291789,79.51343754334017,23.71114451599469,64.0662510955064,5.126177368971944,1,0.25,0.0,0.0,240.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,0.7613888806351929,0.2236550216367942,25.83459252884904,301.5094325059433,242.66524790132897,13,0.0,7.918382789138548,1,0.8357975896675924,90.0,90.0,0.0,0.0,32.653789698106486,74.43615677814526,25.331150854855522,58.98897033031149,5.064446270278673,1,0.25,0.0,0.0,255.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,0.785013923172031,0.2005843250399924,25.677431095501944,310.2573262070263,254.046858979686,13,0.0,7.582108184855354,1,0.6308801113781755,90.0,90.0,0.0,0.0,30.665426490100764,68.4873819973141,27.266308429403963,53.04019554948033,6.592579946699054,2,0.25,0.0,0.0,270.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,0.8133167581718908,0.1726646126902244,25.32099347151846,319.1261037888396,267.9090421986754,13,0.0,6.9802969301486115,1,0.40203870954271537,90.0,90.0,0.0,0.0,28.3944373201409,61.585091684621986,28.552153657551102,46.137905236788214,7.610621360948162,2,0.25,0.0,0.0,285.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,1.36563275147749,0.194085566631683,20.76464795313089,120.8780170601663,582.9062018030027,16,0.0,9.266470789424059,2,0.06918233184516964,,,,,-6.460813674775329,-83.1954955870644,15.875136685114114,-98.64268203489817,4.523302703448395,1,0.25,0.0,0.0,30.0
