run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,years_to_equilibrium,T_overshoot_K,max_hemis_asymmetry_K,max_hemis_asymmetry_year,final_hemis_asymmetry_K,iceline_start_deg,iceline_end_deg,iceline_migration_deg,iceline_peak_rate_deg_per_yr,T_year1_degC,T_final_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om0,1.4306049871798832,0.2233245327237774,23.70168833365585,83.00347782631717,624.9962224050814,16,0.0,8.197807262990487,2,0.09697581466872407,,,,,-9.184050398697634,-87.56185798177755,18.2949325575197,-103.00706333992636,5.256907428428605,2,0.25,0.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om180,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,13,0.0,4.6737239341835775,2,0.9136563265268904,81.4509211694784,90.0,8.549078830521594,8.549078830521594,30.397632878915363,67.60561872402012,12.498264278386898,52.160413365871314,5.055172319448047,1,0.25,0.0,0.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om270,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,17,0.0,7.188056629448582,2,0.052611299606780904,44.4270040008057,16.127620213160764,-28.29938378764494,28.29938378764494,0.17202846441410757,-72.6729863412198,16.160448987028374,-88.1181916993686,4.312175009928982,1,0.25,0.0,0.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om90,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,4,0.0,7.283272167670848,1,1.6241498943734065,58.82116446134409,64.15806723683289,5.336902775488802,2.7826181902582405,14.82013281217464,14.631830205250246,40.76472368312088,-0.8133751528985584,4.7471068422819584,2,0.25,0.0,0.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om0,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,13,0.0,4.6737239341835775,2,0.9136563265268904,81.4509211694784,90.0,8.549078830521594,8.549078830521594,30.397632878915363,67.60561872402012,12.498264278386898,52.160413365871314,5.055172319448047,1,0.25,0.0,180.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om180,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,16,0.0,8.19780726268771,2,0.09697581491514029,,,,,-9.184050376035461,-87.56185794228593,18.29493258103946,-103.00706330043474,5.25690742720019,2,0.25,0.0,180.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om270,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,4,0.0,7.283272165264904,1,1.6241499006055413,58.82116446134409,64.15806723683289,5.336902775488802,2.7826181902582405,14.820132833765658,14.63183028696721,40.76472334304465,-0.8133750711815946,4.747106858976243,2,0.25,0.0,180.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om90,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,17,0.0,7.188056629448582,2,0.052611299606780904,44.4270040008057,16.127620213160764,-28.29938378764494,28.29938378764494,0.17202846441410757,-72.6729863412198,16.160448987028374,-88.1181916993686,4.312175009928982,1,0.25,0.0,180.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om0,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,17,0.0,7.188056629448582,2,0.052611299606780904,44.4270040008057,16.127620213160764,-28.29938378764494,28.29938378764494,0.17202846441410757,-72.6729863412198,16.160448987028374,-88.1181916993686,4.312175009928982,1,0.25,0.0,270.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om180,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,4,0.0,7.283272165264904,1,1.6241499006055413,58.82116446134409,64.15806723683289,5.336902775488802,2.7826181902582405,14.820132833765658,14.63183028696721,40.76472334304465,-0.8133750711815946,4.747106858976243,2,0.25,0.0,270.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om270,0.7923239908426015,0.2331602451178122,21.01543432349174,271.2204974362536,257.603642486332,13,0.0,4.673723792824532,2,0.9136563232480626,81.4509211694784,90.0,8.549078830521594,8.549078830521594,30.39763259615536,67.60561786862935,12.498264488330697,52.16041251048055,5.055172302911926,1,0.25,0.0,270.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om90,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,16,0.0,8.19780726268771,2,0.09697581491514029,,,,,-9.184050376035461,-87.56185794228593,18.29493258103946,-103.00706330043474,5.25690742720019,2,0.25,0.0,270.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om0,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,4,0.0,7.283272167670848,1,1.6241498943734065,58.82116446134409,64.15806723683289,5.336902775488802,2.7826181902582405,14.82013281217464,14.631830205250246,40.76472368312088,-0.8133751528985584,4.7471068422819584,2,0.25,0.0,90.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om180,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,17,0.0,7.188056629448582,2,0.052611299606780904,44.4270040008057,16.127620213160764,-28.29938378764494,28.29938378764494,0.17202846441410757,-72.6729863412198,16.160448987028374,-88.1181916993686,4.312175009928982,1,0.25,0.0,90.0,180.0
