run,Score,Earth_s,Earth_da_AU,Earth_de,n_ejected,ejected_bodies,top_impact_body,top_impact_raw_r,bh_rp_au,bh_vinf_kms,bh_inc_deg,bh_tperi_offset_days,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om180__om345,7.688839835287737,0.6567130442050947,-0.4403396142242227,0.7285015900053659,2,"Mars,Neptune",Neptune,4.1033546172584385,0.25,25.0,-30.0,59132.0,180.0,345.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om90__om195,7.610621687360113,0.31078021945353507,-0.1872230514008064,0.1555466389414827,2,"Mercury,Uranus",Mercury,1710.4095048482518,0.25,25.0,0.0,59132.0,90.0,195.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om105,7.610621687360113,0.31078021945353507,-0.1872230514008064,0.1555466389414827,2,"Mercury,Uranus",Mercury,1710.4095048482518,0.25,25.0,0.0,59132.0,180.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,7.610621360948162,0.3107802194450794,-0.1872230514819077,0.1555466388232512,2,"Mercury,Uranus",Mercury,1710.4082121411561,0.25,25.0,0.0,59132.0,0.0,285.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om270__om15,7.610619561778262,0.31078021948518036,-0.1872230511094718,0.1555466393683847,2,"Mercury,Uranus",Mercury,1710.4011412630007,0.25,25.0,0.0,59132.0,270.0,15.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om180__om330,7.566245853765601,0.5975604329859106,-0.3915373322715578,0.5859275693429963,3,"Mars,Jupiter,Neptune",Neptune,4.57565210188562,0.25,25.0,-30.0,59132.0,180.0,330.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om0__om150,7.562794687727047,0.5968865766409606,-0.3905936280193282,0.5851895453637096,3,"Mars,Jupiter,Neptune",Neptune,4.575698666103867,0.25,25.0,30.0,59132.0,0.0,150.0
20260811_184731__rp0p75__vinf25__inc0__toff59132__Om180__om255,7.5475472804618295,1.0083948059297774,-1.4384418576342,2.588880342077785,2,"Earth,Moon",Moon,90.46315408046524,0.75,25.0,0.0,59132.0,180.0,255.0
20260811_184731__rp0p75__vinf25__inc0__toff59132__Om90__om345,7.5475472804618295,1.0083948059297774,-1.4384418576342,2.588880342077785,2,"Earth,Moon",Moon,90.46315408046524,0.75,25.0,0.0,59132.0,90.0,345.0
20260811_184731__rp0p75__vinf25__inc0__toff59132__Om0__om75,7.5475472804618295,1.0083948059297774,-1.4384418576342,2.588880342077785,2,"Earth,Moon",Moon,90.46315408046524,0.75,25.0,0.0,59132.0,0.0,75.0
