run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,land_summer_max_degC,land_winter_min_degC,land_seasonal_range_K,ocean_summer_max_degC,ocean_seasonal_range_K,dT_vs_baseline_K,dland_summer_max_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,1.2724309932693156,0.1480295777837539,22.3080720699022,141.3897021003132,524.2629280138665,-76.1784555664214,196.97154443357857,,True,374.40078600313416,31,212.49115569564105,-76.2019548293739,-76.15495630346894,-72.33313631839732,-87.74356547372828,15.41042915533096,80.74853526333955,False,-65.53626454570794,-91.24059845834479,25.704333912636855,-78.17948078104213,7.047426194064087,-91.62564201425518,-79.817795520593,-75.99665053580901,4.44045612681194,1,0.25,0.0,0.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,1.1609965140046894,0.2712830388759514,21.568774546726893,187.0793154009193,456.92420402824064,-64.25440789762592,208.89559210237405,,True,444.02862141084324,34,262.2622223633628,-64.25981580249571,-64.24899999275614,-59.69600560396995,-76.55010212943188,16.854096525461927,99.66239758108115,False,-51.62652309495585,-80.16832551838802,28.541802423432166,-67.49312123197787,6.460690826470511,-79.7015943454597,-65.9080540698409,-63.35951982138163,4.526563578215295,2,0.25,0.0,0.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,0.8670418180609165,0.306074081003354,23.412151135416806,230.0485648579973,294.88851391044926,52.21615735538293,325.36615735538294,90.0,False,594.5859876068887,26,475.4201504326012,52.59419569908818,51.83811901167766,41.786166139837704,19.44693741621601,22.339228723621694,330.4627846332782,True,51.876436700471515,11.893745954628981,39.98269074584253,31.395274586945508,6.5334382412375405,36.76897090754916,37.594905725586464,38.12265192242602,5.496043269095795,2,0.25,0.0,0.0,120.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,0.7126726173071757,0.4446142746109841,24.63575351962269,246.55133242139345,219.75203169541024,92.82250057387836,365.97250057387834,90.0,False,915.3882030266993,24,747.9019773633618,93.5920269383966,92.05297420936014,81.79592013962304,58.44395450841954,23.351965631203498,519.4186281722319,True,94.54591647558357,52.919187971830574,41.62672850375299,67.9625324298707,4.914868384328024,77.37531412604459,80.26438550069851,78.13240592221135,6.368529632556215,2,0.25,0.0,0.0,135.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,1.4437831612991696,0.2190211151202896,21.52280020306777,141.46205282458726,633.6519109199864,-88.5039639589968,184.64603604100319,,True,330.4483842275039,29,167.2895946827251,-88.53264509616388,-88.47528282182975,-83.48131508864395,-98.49291647427928,15.01160138563533,63.57180717452521,False,-76.65651426182512,-101.19192911746028,24.535414855635153,-89.3821470980007,7.220368940908116,-103.95115040683058,-90.93804523671018,-87.14482930605564,4.677254508049604,1,0.25,0.0,0.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,0.6289017544362863,0.5667499018280256,24.63721379920013,254.14771193269357,182.16796203218323,122.73250100397583,395.8825010039758,90.0,False,1444.5189521252553,24,1044.151095215486,123.6886374655667,121.77636454238498,116.31101254917047,79.83546307833132,36.475549470839155,725.163132340216,True,137.43253856112375,71.49745922914273,65.93507933198102,93.02000038572443,5.178421664342068,107.28531455614205,123.15100758623869,112.64749833175878,7.023468603178353,1,0.25,0.0,0.0,150.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,0.5913460801346785,0.6379363457500438,22.61473472220027,270.7643024726689,166.0964590075818,140.26143188722781,413.41143188722776,90.0,False,1561.8301042981757,23,1263.4955422226658,141.13891253142253,139.38395124303307,130.47821209506662,89.96142887872733,40.51678321633929,878.7247714953878,True,152.80717287217217,78.39100568487818,74.416167187294,107.82136857301754,7.172624791115908,124.81424543939404,138.52564189728713,126.81469787765494,7.198059057912554,1,0.25,0.0,0.0,165.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,0.6317414828764584,0.5216645060766804,23.075609112841317,300.12017916473167,183.40318929921605,119.21309663402157,392.36309663402153,90.0,False,1558.951659267552,24,999.2946991190908,119.85425725098641,118.57193601705681,113.96758245794825,75.73584419650594,38.23173826144232,694.7653604856337,True,140.29127163933123,66.93557552022865,73.35569611910257,89.3666746335372,8.02634816603991,103.7659101861878,126.00974066444617,110.30406824053657,6.741626987071451,1,0.25,0.0,0.0,180.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,0.7234247493364551,0.3103432736565881,23.557638230091257,304.15814207269773,224.74385918947277,85.70086922887607,358.85086922887604,90.0,False,807.998116809324,25,683.9153935199031,86.17665499118901,85.22508346656312,69.3797544591619,44.45863458689125,24.92111987227065,475.33950721140457,True,81.43307864038604,35.57254308360041,45.860535556785635,60.14554709271186,7.17369109114734,70.2536827810423,67.15154766550098,65.71624024175021,6.005885691188023,2,0.25,0.0,0.0,195.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,0.730504441611478,0.272924402776433,24.790628606491502,296.0315614075648,228.05105288721097,82.99528215918063,356.1452821591806,90.0,False,729.0677838681955,25,662.767679749668,83.51184859354912,82.47871572481215,64.57195286625722,41.92387878087203,22.64807408538519,460.24160011638435,True,73.79381500216947,31.96359659523747,41.830218406932,58.327622689797394,6.888617468141369,67.54809571134686,59.512284027284416,60.90843864884554,5.789981707499541,2,0.25,0.0,0.0,210.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,0.7292233098388674,0.2643638209762485,25.53780844098153,293.0404019088087,227.45139469386584,83.09635259429984,356.2463525942998,90.0,False,723.8259570311458,25,663.4519557444637,83.63152782659117,82.56117736200848,64.39173388694637,41.81371147812777,22.578022408818597,460.46605057361216,True,73.00433417696179,31.28410909894463,41.720225078017165,58.85962962142732,6.982680387147212,67.64916614646607,58.72280320207674,60.72821966953469,5.51319745521436,1,0.25,0.0,0.0,225.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,0.7421654369816182,0.2464558609261114,25.811523533862964,295.77442764056093,233.5333332552369,79.51336073450601,352.663360734506,90.0,False,722.0233974119993,25,637.3880007874528,80.0065997600537,79.02012170895829,61.97359601685104,38.26246631735009,23.71112969950095,442.2870722825913,True,70.99374165359326,27.380759399121906,43.612982254471355,56.095832376190145,7.504026562330097,64.06617428667224,56.71221067870821,58.31008179943936,5.126177368971944,1,0.25,0.0,0.0,240.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,0.7613888806351929,0.2236550216367942,25.83459252884904,301.5094325059433,242.66524790132897,74.43607346365346,347.5860734636534,90.0,False,721.1276305626699,25,602.182598308924,74.8539963201851,74.01815060712183,58.596319000160584,33.26518353615188,25.331135464008703,417.85065106930085,True,68.46602545999038,22.147331415044462,46.318694044945914,51.89896514813175,8.184624089138616,58.988887015819685,54.184494485105326,54.9328047827489,5.064446270278673,1,0.25,0.0,0.0,255.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,0.785013923172031,0.2005843250399924,25.677431095501944,310.2573262070263,254.046858979686,68.48728649377009,341.63728649377003,90.0,False,721.3042999320137,25,563.5867192104282,68.80275266286142,68.17182032467873,54.641420777645905,27.37512924033424,27.266291537311666,391.11472635741126,True,65.69205595478024,16.112750516054703,49.57930543872554,46.77483219906344,8.948136298971633,53.04010004593631,51.41052497989519,50.977906560234224,6.592579946699054,2,0.25,0.0,0.0,270.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,0.8133167581718908,0.1726646126902244,25.32099347151846,319.1261037888396,267.9090421986754,61.585019319607454,334.73501931960743,90.0,False,703.942548521664,26,522.216971551947,61.78605718389776,61.38398145531713,49.26103928288403,20.708898041698387,28.55214124118564,362.5002383320445,True,61.09243988202275,9.464087015993572,51.62835286602918,40.53291260649115,9.554239785460545,46.13783287177368,46.8109089071377,45.59752506547235,7.610621360948162,2,0.25,0.0,0.0,285.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,1.36563275147749,0.194085566631683,20.76464795313089,120.8780170601663,582.9062018030027,-83.19539053313412,189.95460946686586,,True,360.7017452355175,30,185.98079294607047,-83.22999327824894,-83.16078778801928,-78.36541798721508,-94.24053924099266,15.875121253777579,70.67479067443362,False,-70.95860560197534,-97.30278367767359,26.344178075698252,-84.64241849910411,7.393688369825242,-98.64257698096789,-85.2401365768604,-82.02893220462677,4.523302703448395,1,0.25,0.0,0.0,30.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om300,0.8536975760273431,0.1738047927168935,24.592695113396985,327.19970107214954,288.1070348595154,52.5148083110171,325.66480831101705,90.0,False,657.2884035793268,26,474.0790484097138,52.63493160922075,52.394685012813454,41.05796133205391,12.505312485317756,28.55264884673615,329.25847666289957,True,53.4928647354947,1.9579062584745173,51.53495847702018,31.746818409216456,9.74689563702815,37.06762186318333,39.21133376060965,37.394447114642226,4.587710992012752,1,0.25,0.0,0.0,300.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om315,0.922363982686214,0.1470886688414102,21.979190776676443,84.357231496785,323.5573681744255,36.46374030958414,309.6137403095841,90.0,False,758.3521072035186,28,404.3365723328119,35.973038892819,36.95444172634927,34.252502061154324,-4.97563899567592,39.228141056830246,281.28601743439833,False,53.75468978603295,-15.915304610842151,69.6699943968751,16.88037981179836,12.751013271728858,21.016553861750367,39.4731588111479,30.588987843742643,4.136198629869143,0,0.25,0.0,0.0,315.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om330,0.9812860840438028,0.1214935278192613,25.136537109664346,95.11108388541564,355.05141710494047,21.36190303739796,294.51190303739793,81.4509211694784,False,700.8421594624517,31,355.9885137616559,20.873973159589987,21.849832915205926,20.611456810303302,-18.098095921590986,38.70955273189429,246.27150035368172,False,39.75724159083073,-28.27090711508426,68.02814870591499,3.5786348275044793,13.184387291585747,5.914716589564186,25.47571061594568,16.94794259289162,3.913036108876484,0,0.25,0.0,0.0,330.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om345,1.103900217039929,0.0656015222221172,23.189820199702027,120.088002618126,423.6356680613778,-60.22976001988343,212.92023998011655,,True,452.7853137221435,37,279.81759475061136,-60.24528078678081,-60.214239252986054,-57.5342260541364,-74.44488863691946,16.91066258278306,106.33299850142923,False,-50.20368596359763,-79.12235138668518,28.918665423087553,-63.705741871042726,7.146090355189777,-75.6769464677172,-64.48521693848268,-61.19774027154808,3.37130441745074,0,0.25,0.0,0.0,345.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om45,0.7831957026485891,0.4123082917950415,3.6154393230947313,350.3489556300464,253.16474919285332,74.68503964339538,347.83503964339536,90.0,False,892.0530328492049,24,608.8607889443612,74.2909817968005,75.07909748999025,67.90638299415957,29.621799641222516,38.284583352937055,426.80404419332723,True,90.35332034949981,20.224591513984677,70.12872883551513,46.32302254564699,8.59827893109155,59.23785319556161,76.07178937461475,64.24286877674788,5.331023818192715,0,0.25,0.0,0.0,45.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om90,1.7946543801044716,0.4552184367774081,19.181230098303008,157.9183246979168,878.1506461456669,-104.52226585053094,168.62773414946903,,True,356.9306091524392,26,118.64821051463096,-104.5614770847788,-104.48305461628311,-94.22902066368898,-113.25647425188214,19.027453588193154,45.08756607358946,False,-84.20841326083989,-115.04656013694466,30.838146876104773,-103.58143320650005,8.403938377177667,-119.96945229836471,-98.48994423572495,-97.89253488110067,4.850235431265536,1,0.25,0.0,0.0,90.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om0,0.6317414828764584,0.5216645060766804,23.075609112841317,300.12017916473167,183.40318929921605,119.21309663402157,392.36309663402153,90.0,False,1558.951659267552,24,999.2946991190908,119.85425725098641,118.57193601705681,113.96758245794825,75.73584419650594,38.23173826144232,694.7653604856337,True,140.29127163933123,66.93557552022865,73.35569611910257,89.3666746335372,8.02634816603991,103.7659101861878,126.00974066444617,110.30406824053657,6.741626987071451,1,0.25,0.0,180.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om105,0.8133167581718908,0.1726646126902244,25.32099347151846,319.1261037888396,267.9090421986754,61.585019319607454,334.73501931960743,90.0,False,703.942548521664,26,522.216971551947,61.78605718389776,61.38398145531713,49.26103928288403,20.708898041698387,28.55214124118564,362.5002383320445,True,61.09243988202275,9.464087015993572,51.62835286602918,40.53291260649115,9.554239785460545,46.13783287177368,46.8109089071377,45.59752506547235,7.610621687360113,2,0.25,0.0,180.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om120,0.8536976231471841,0.1738048858919949,24.592695112541637,327.1997282464929,288.10705871261905,52.51479892798113,325.6647989279811,90.0,False,657.2884674320363,26,474.079003992641,52.63492205759542,52.39467579836685,41.05795766510872,12.505302766566956,28.55265489854176,329.2584458127526,True,53.492866464349106,1.9578972481314727,51.53496921621763,31.746809903858246,9.74689735769628,37.06761248014736,39.211335489464055,37.394443447697036,4.587710985281724,1,0.25,0.0,180.0,120.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om135,0.922363982686214,0.1470886688414102,21.979190776676443,84.357231496785,323.5573681744255,36.46374030958414,309.6137403095841,90.0,False,758.3521072035186,28,404.3365723328119,35.973038892819,36.95444172634927,34.252502061154324,-4.97563899567592,39.228141056830246,281.28601743439833,False,53.75468978603295,-15.915304610842151,69.6699943968751,16.88037981179836,12.751013271728858,21.016553861750367,39.4731588111479,30.588987843742643,4.136198629869143,0,0.25,0.0,180.0,135.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om15,0.7233800395794475,0.3101778777377415,23.557406793493644,304.1582592868105,224.7230247735472,85.70793443995356,358.8579344399535,90.0,False,807.9475651392897,25,683.9610996839109,86.18352026195895,85.23234861794819,69.38053251913522,44.46036622985478,24.920166289280438,475.3713502388903,True,81.4281881094411,35.57021824115666,45.857969868284435,60.151344198801226,7.174007866632728,70.26074799211979,67.14665713455604,65.71701830172353,6.005694147056457,2,0.25,0.0,180.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om150,0.9812861989678938,0.1214937941448954,25.13653679599724,95.11105515205482,355.0514794781309,21.3618774503104,294.51187745031035,81.4509211694784,False,700.8424172795021,31,355.9884420691662,20.873947674633307,21.84980722598749,20.611451839469645,-18.09812015734907,38.70957199681871,246.27145137508597,False,39.75725215685302,-28.270930648916742,68.02818280576976,3.578615259319423,13.184392865549718,5.914691002476626,25.47572118196797,16.947937622057964,3.9130360493309273,0,0.25,0.0,180.0,150.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om165,1.1038993433534028,0.0655984731863596,23.189804908642348,120.0875816507002,423.63516512909786,-60.22967337032098,212.92032662967898,,True,452.7832821327286,37,279.817981466612,-60.24519356568346,-60.214153174958504,-57.53424678748216,-74.44480171311972,16.910554925637555,106.33314545297237,False,-50.20378047215662,-79.12226216153047,28.91848168937385,-63.70568932736724,7.14605464110268,-75.67685981815475,-64.48531144704168,-61.19776100489384,3.371305587826012,0,0.25,0.0,180.0,165.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om180,1.2724309932693156,0.1480295777837539,22.3080720699022,141.3897021003132,524.2629280138665,-76.1784555664214,196.97154443357857,,True,374.40078600313416,31,212.49115569564105,-76.2019548293739,-76.15495630346894,-72.33313631839732,-87.74356547372828,15.41042915533096,80.74853526333955,False,-65.53626454570794,-91.24059845834479,25.704333912636855,-78.17948078104213,7.047426194064087,-91.62564201425518,-79.817795520593,-75.99665053580901,4.440456121822812,1,0.25,0.0,180.0,180.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om195,1.4437831612991696,0.2190211151202896,21.52280020306777,141.46205282458726,633.6519109199864,-88.5039639589968,184.64603604100319,,True,330.4483842275039,29,167.2895946827251,-88.53264509616388,-88.47528282182975,-83.48131508864395,-98.49291647427928,15.01160138563533,63.57180717452521,False,-76.65651426182512,-101.19192911746028,24.535414855635153,-89.3821470980007,7.220368940908116,-103.95115040683058,-90.93804523671018,-87.14482930605564,4.677254508049604,1,0.25,0.0,180.0,195.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om210,1.36563275147749,0.194085566631683,20.76464795313089,120.8780170601663,582.9062018030027,-83.19539053313412,189.95460946686586,,True,360.7017452355175,30,185.98079294607047,-83.22999327824894,-83.16078778801928,-78.36541798721508,-94.24053924099266,15.875121253777579,70.67479067443362,False,-70.95860560197534,-97.30278367767359,26.344178075698252,-84.64241849910411,7.393688369825242,-98.64257698096789,-85.2401365768604,-82.02893220462677,4.523302712652052,1,0.25,0.0,180.0,210.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om225,0.7835241484086202,0.4123848847237086,3.619213760525483,350.4725737790782,253.3240189741572,74.61090390396046,347.7609039039604,90.0,False,891.9442069958118,24,608.3735887825543,74.21615431042092,75.00565349750002,67.8541925282224,29.553580100994488,38.30061242722791,426.46228889538673,True,90.31247267531435,20.1552247912902,70.15724788402416,46.26098188977044,8.604099550800775,59.16371745612669,76.0309417004293,64.19067831081071,5.330429525011021,0,0.25,0.0,180.0,225.0
