run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,dT_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,0.7292233098388674,0.2643638209762485,25.53780844098153,293.0404019088087,227.45139469386584,83.93235430527398,357.08235430527395,90.0,False,723.8259570311458,16,663.4519557444637,84.04761339745544,83.81709521309251,60.580923171295645,50.05392662358014,10.526996547715505,460.46605057361256,True,68.98086094180701,65.15381206019742,5.51319745521436,1,0.25,0.0,0.0,225.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,0.7421654369816182,0.2464558609261114,25.811523533862964,295.77442764056093,233.5333332552369,80.30458869451707,353.45458869451704,90.0,False,722.0233974119993,17,637.3880007874528,80.41263567039618,80.19654171863795,57.9108567593386,46.77155437211004,11.139302387228561,442.287072282591,True,65.3530953310501,62.48374564824037,5.126177368971944,1,0.25,0.0,0.0,240.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,0.7613888806351929,0.2236550216367942,25.83459252884904,301.5094325059433,242.66524790132897,75.17645570530269,348.3264557053027,90.0,False,721.1276305626699,17,602.182598308924,75.27188895937222,75.08102245123318,53.83508087217144,41.931868103905785,11.903212768265654,417.8506510693007,True,60.22496234183572,58.40796976107322,5.064446270278673,1,0.25,0.0,0.0,255.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,0.785013923172031,0.2005843250399924,25.677431095501944,310.2573262070263,254.046858979686,69.18719941696045,342.3371994169604,90.0,False,721.3042999320137,17,563.5867192104282,69.26569202367752,69.10870681024339,48.85021587017427,36.12844118385614,12.721774686318128,391.1147263574114,True,54.23570605349349,53.42310475907604,6.592579946699054,2,0.25,0.0,0.0,270.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,0.8133167581718908,0.1726646126902244,25.32099347151846,319.1261037888396,267.9090421986754,62.23006417547135,335.3800641754713,90.0,False,703.942548521664,17,522.216971551947,62.28891702302214,62.171211327920574,42.70598395924942,29.4259082641014,13.280075695148025,362.50023833204455,True,47.27857081200438,47.278872848151195,7.610621360948162,2,0.25,0.0,0.0,285.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,1.36563275147749,0.194085566631683,20.76464795313089,120.8780170601663,582.9062018030027,-83.14184803580578,190.0081519641942,,True,360.7017452355175,21,185.98079294607047,-83.14996378130205,-83.13373229030951,-83.67359189852225,-92.69420689262031,9.020614994098068,70.67479067443364,False,-98.09334139927275,-79.10070300962047,4.523302703448395,1,0.25,0.0,0.0,30.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om300,0.8536975760273431,0.1738047927168935,24.592695113396985,327.19970107214954,288.1070348595154,53.144987507600824,326.2949875076008,90.0,False,657.2884035793268,18,474.0790484097138,53.19347943021259,53.096495584989036,33.879564430107116,20.600647990245974,13.278916439861142,329.2584766628997,True,38.19349414413386,38.452453319008896,4.587710992012752,1,0.25,0.0,0.0,300.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om315,0.922363982686214,0.1470886688414102,21.979190776676443,84.357231496785,323.5573681744255,37.07315941980224,310.2231594198022,90.0,False,758.3521072035186,19,404.3365723328119,37.004918929999064,37.1413999096054,19.570589557388274,3.6216248676221716,15.948964689766102,281.3232620015606,False,22.121666056335272,24.14347844629005,4.136198629869143,0,0.25,0.0,0.0,315.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om330,0.9812860840438028,0.1214935278192613,25.136537109664346,95.11108388541564,355.05141710494047,21.709198552544258,294.8591985525442,81.4509211694784,False,700.8421594624517,21,355.9885137616559,21.568996570693383,21.84940053439513,5.618825851471032,-10.423175641330609,16.04200149280164,246.32673950999452,False,6.75770518907729,10.191714740372808,3.913036108876484,0,0.25,0.0,0.0,330.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om345,1.103900217039929,0.0656015222221172,23.189820199702027,120.088002618126,423.6356680613778,-60.188042342175976,212.961957657824,,True,452.7853137221435,26,279.81759475061136,-60.19049104863792,-60.18559363571404,-62.590834665125335,-71.72253755660319,9.13170289147785,106.33299850142927,False,-75.13953570564294,-58.017945776223556,3.37130441745074,0,0.25,0.0,0.0,345.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om45,0.7831957026485891,0.4123082917950415,3.6154393230947313,350.3489556300464,253.16474919285332,76.12185425131176,349.27185425131177,90.0,False,892.0530328492049,16,608.8607889443612,76.12476196384365,76.11894653877988,48.60081354202492,38.026027269777416,10.574786272247508,426.80404419332723,True,61.170360887844794,53.173702430926696,5.331023818192715,0,0.25,0.0,0.0,45.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om90,1.7946543801044716,0.4552184367774081,19.181230098303008,157.9183246979168,878.1506461456669,-104.41507681566517,168.7349231843348,,True,356.9306091524392,19,118.64821051463096,-104.41972323474846,-104.41043039658196,-102.8963693504669,-112.34800079687658,9.451631446409678,45.087566073589386,False,-119.36657017913214,-98.32348046156513,4.850235431265536,1,0.25,0.0,0.0,90.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om0,0.6317414828764584,0.5216645060766804,23.075609112841317,300.12017916473167,183.40318929921605,121.99990842543335,395.1499084254333,90.0,False,1558.951659267552,15,999.2946991190908,122.2030663109976,121.79675053986907,91.77020348719957,79.57784126549122,12.19236222170835,694.7653604856336,True,107.04841506196638,96.34309237610134,6.741626987071451,1,0.25,0.0,180.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om105,0.8133167581718908,0.1726646126902244,25.32099347151846,319.1261037888396,267.9090421986754,62.23006417547135,335.3800641754713,90.0,False,703.942548521664,17,522.216971551947,62.28891702302214,62.171211327920574,42.70598395924942,29.4259082641014,13.280075695148025,362.50023833204455,True,47.27857081200438,47.278872848151195,7.610621687360113,2,0.25,0.0,180.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om120,0.8536976231471841,0.1738048858919949,24.592695112541637,327.1997282464929,288.10705871261905,53.144978423380365,326.29497842338037,90.0,False,657.2884674320363,18,474.079003992641,53.193470331593716,53.09648651516703,33.87955615665215,20.600637842584568,13.278918314067582,329.2584458127529,True,38.1934850599134,38.45244504555393,4.587710985281724,1,0.25,0.0,180.0,120.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om135,0.922363982686214,0.1470886688414102,21.979190776676443,84.357231496785,323.5573681744255,37.07315941980224,310.2231594198022,90.0,False,758.3521072035186,19,404.3365723328119,37.004918929999064,37.1413999096054,19.570589557388274,3.6216248676221716,15.948964689766102,281.3232620015606,False,22.121666056335272,24.14347844629005,4.136198629869143,0,0.25,0.0,180.0,135.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om15,0.7233800395794475,0.3101778777377415,23.557406793493644,304.1582592868105,224.7230247735472,86.69856204897766,359.84856204897767,90.0,False,807.9475651392897,16,683.9610996839109,86.8087040088029,86.58842008915248,61.875147567543515,51.14674044480135,10.728407122742162,475.3713502388907,True,71.7470686855107,66.4480364564453,6.005694147056457,2,0.25,0.0,180.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om150,0.9812861989678938,0.1214937941448954,25.13653679599724,95.11105515205482,355.0514794781309,21.70917341019483,294.8591734101948,81.4509211694784,False,700.8424172795021,21,355.9884420691662,21.568971524019318,21.849375296370344,5.618806513026614,-10.42320111764527,16.042007630671883,246.32669041442284,False,6.757680046727861,10.19169540192839,3.9130360493309273,0,0.25,0.0,180.0,150.0
