run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,years_to_equilibrium,T_overshoot_K,max_hemis_asymmetry_K,max_hemis_asymmetry_year,final_hemis_asymmetry_K,iceline_start_deg,iceline_end_deg,iceline_migration_deg,iceline_peak_rate_deg_per_yr,T_year1_degC,T_final_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,1.2724309932693156,0.1480295777837539,22.3080720699022,141.3897021003132,524.2629280138665,12,0.0,5.955174556157665,1,0.00869907252250357,,,,,-1.037620971872638,-76.1295950771503,8.759335148392452,-91.08108844061726,4.44045612681194,1,0.25,0.0,0.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,1.1609965140046894,0.2712830388759514,21.568774546726893,187.0793154009193,456.92420402824064,13,0.0,7.424122934363501,1,0.006108530367569642,48.11140308495899,14.806506911897516,-33.30489617306147,19.711600929163744,6.1012611424795535,-64.1718390440958,7.895572134950143,-79.12333240756277,4.526563578215295,2,0.25,0.0,0.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,0.8670418180609165,0.306074081003354,23.412151135416806,230.0485648579973,294.88851391044926,9,0.0,6.7198461267913885,1,0.28130179924195886,67.25314872563517,90.0,22.74685127436483,22.74685127436483,24.377678927752147,53.2575398431881,8.516156686155483,38.30604647972113,5.496043269095795,2,0.25,0.0,0.0,120.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,0.7126726173071757,0.4446142746109841,24.63575351962269,246.55133242139345,219.75203169541024,9,2.842170943040401e-14,6.24217264937883,1,0.395895687131798,81.4509211694784,90.0,8.549078830521594,8.549078830521594,36.9736091312936,94.6415551792529,6.3998081839640975,79.69006181578594,6.368529632556215,2,0.25,0.0,0.0,135.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,1.4437831612991696,0.2190211151202896,21.52280020306777,141.46205282458726,633.6519109199864,11,0.0,5.0699365571028085,1,0.01230374073033147,,,,,-11.268780163281935,-88.44991494442056,8.726701305543742,-103.40140830788752,4.677254508049604,1,0.25,0.0,0.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,0.6289017544362863,0.5667499018280256,24.63721379920013,254.14771193269357,182.16796203218323,8,4.263256414560601e-14,5.993945533488684,1,0.5601886095693374,90.0,90.0,0.0,0.0,47.054691285467825,126.12675963449152,6.781035810492668,111.17526627102455,7.023468603178353,1,0.25,0.0,0.0,150.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,0.5913460801346785,0.6379363457500438,22.61473472220027,270.7643024726689,166.0964590075818,8,0.0,1.9078113196364015,1,0.6645534661751356,90.0,90.0,0.0,0.0,53.812310269473365,145.10884406957393,9.44378461162367,130.15735070610697,7.198059057912554,1,0.25,0.0,0.0,165.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,0.6317414828764584,0.5216645060766804,23.075609112841317,300.12017916473167,183.40318929921605,9,0.0,5.006568883551651,1,0.4063130582781582,90.0,90.0,0.0,0.0,45.336326382827956,121.99994379825398,12.19234053114316,107.04845043478701,6.741626987071451,1,0.25,0.0,0.0,180.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,0.7234247493364551,0.3103432736565881,23.557638230091257,304.15814207269773,224.74385918947277,9,0.0,3.912810890811592,1,0.22041844356083118,90.0,90.0,0.0,0.0,34.13970535865015,86.69227881579556,10.727888792572116,71.7407854523286,6.005885691188023,2,0.25,0.0,0.0,195.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,0.730504441611478,0.272924402776433,24.790628606491502,296.0315614075648,228.05105288721097,9,0.0,2.7949277931597756,1,0.22551488318984525,90.0,90.0,0.0,0.0,33.20508190750044,83.84729262381282,10.384769609019521,68.89579926034585,5.789981707499541,2,0.25,0.0,0.0,210.0
