run,Score,Earth_s,Earth_da_AU,Earth_de,n_ejected,ejected_bodies,top_impact_body,top_impact_raw_r,bh_rp_au,bh_vinf_kms,bh_inc_deg,bh_tperi_offset_days,bh_Omega_deg,bh_omega_deg
20260724_230314__rp1p5__vinf25__inc30__toff56210__Om0__om90,10.038833596448661,1.545691575404575,-2.6635445336823023,9.023344940636912,3,"Earth,Neptune,Moon",Earth,23.395352815293375,1.5,25.0,30.0,56210.0,0.0,90.0
20260724_230314__rp1p5__vinf25__incm30__toff56210__Om180__om270,10.038833361081823,1.5456915283397228,-2.6635445270855382,9.023343996902584,3,"Earth,Neptune,Moon",Earth,23.395350205636365,1.5,25.0,-30.0,56210.0,180.0,270.0
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om180__om180,8.358155210762511,0.2959229585143688,0.4516261737215602,0.2033032475069941,2,"Mercury,Venus",Mercury,3282.5110544338804,0.5,25.0,-30.0,56210.0,180.0,180.0
20260724_230314__rp0p5__vinf25__inc30__toff56210__Om0__om0,8.358155144572983,0.29592295855979417,0.4516261738060162,0.2033032474316346,2,"Mercury,Venus",Mercury,3282.510552080388,0.5,25.0,30.0,56210.0,0.0,0.0
20260724_230314__rp1__vinf25__inc30__toff56210__Om270__om180,8.014889911946103,1.0963074013725536,-1.2409624650049065,1.9216303088116455,3,"Earth,Neptune,Moon",Moon,8.52700376431806,1.0,25.0,30.0,56210.0,270.0,180.0
20260724_230314__rp1__vinf25__incm30__toff56210__Om90__om0,8.014889911808519,1.0963074013496124,-1.2409624650254627,1.9216303087094284,3,"Earth,Neptune,Moon",Moon,8.527003780907576,1.0,25.0,-30.0,56210.0,90.0,0.0
20260724_230314__rp1__vinf25__inc60__toff56210__Om90__om0,7.7403958743574375,1.0383949778009838,-1.4534407900459536,3.4158240859537847,3,"Earth,Neptune,Moon",Moon,56.81175326693763,1.0,25.0,60.0,56210.0,90.0,0.0
20260724_230314__rp1__vinf25__incm60__toff56210__Om270__om180,7.739405304317964,1.0381968637926204,-1.4534415674590189,3.4135164263259843,3,"Earth,Neptune,Moon",Moon,56.48631951940738,1.0,25.0,-60.0,56210.0,270.0,180.0
20260724_230314__rp1p25__vinf25__inc30__toff56210__Om0__om90,7.469082304549753,0.9736174759639742,-1.6672526157222942,2.908410443460093,4,"Earth,Mars,Neptune,Moon",Earth,5.765097437004537,1.25,25.0,30.0,56210.0,0.0,90.0
20260724_230314__rp1p25__vinf25__incm30__toff56210__Om180__om270,7.469082304525104,0.9736174759608232,-1.667252615705794,2.908410443429738,4,"Earth,Mars,Neptune,Moon",Earth,5.765097436957735,1.25,25.0,-30.0,56210.0,180.0,270.0
20260724_230314__rp1__vinf25__inc30__toff56210__Om0__om90,6.290854245679551,0.662275623414127,17.460148590034226,0.9585083778133734,2,"Mars,Neptune",Mars,5.5401024428643115,1.0,25.0,30.0,56210.0,0.0,90.0
20260724_230314__rp1__vinf25__incm30__toff56210__Om180__om270,6.2888182046470575,0.6618684043547617,16.905938604135148,0.9577290335940624,2,"Mars,Neptune",Mars,5.540103102277589,1.0,25.0,-30.0,56210.0,180.0,270.0
20260724_230314__rp1p25__vinf25__inc30__toff56210__Om270__om180,5.914596534597737,0.7259053497724623,-14.37240878157246,1.1118031919677929,3,"Earth,Neptune,Moon",Moon,34.14731747267059,1.25,25.0,30.0,56210.0,270.0,180.0
20260724_230314__rp1p25__vinf25__incm30__toff56210__Om90__om0,5.914575168222717,0.7259010764984245,-14.372392196384556,1.1118008812791265,3,"Earth,Neptune,Moon",Moon,34.15413101737684,1.25,25.0,-30.0,56210.0,90.0,0.0
