run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_K,T_equator_K,T_pole_K,T_max_anywhere_K,T_min_anywhere_K,equator_seasonal_range_K,pressure_mean_Pa,pressure_min_Pa,pressure_max_Pa,pressure_swing_frac,peak_cap_kg_m2,frac_year_equator_above_273K,frac_year_liquid_water_possible,spinup_years,S_mean_Wm2,collapsed_fraction,min_airborne_fraction,atmosphere_collapsed,permanently_collapsed
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om180,2.087867632257701,0.1658770156500159,28.537266774088657,140.4012598203501,1101.9181453912424,172.25054151477497,187.11112465590764,135.77868532231886,216.56752958163113,127.34052166992393,33.02697924625208,111.7844444286154,19.349474792735894,192.1863523907075,0.899319204761225,6346.786687856472,0.0,0.0,49,79.14997758967243,0.0,0.026077459289401528,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om90,1.3359296085697534,0.167947182362771,27.040160249628705,322.40188928586923,563.9885087718209,216.82739871947373,234.24143457508734,175.17739918423666,277.65376753001874,147.04496934009399,42.64926711054914,631.8972378484002,550.9532149082344,710.5460110849302,0.22460585758973461,795.9029131239761,0.0,0.0,3,193.39441754503818,0.0,0.7425245483938469,False,False
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om180,1.35659361370021,0.1476676430381203,24.50712659188548,319.8860453030274,577.124544395706,215.84426268908598,233.12859288237496,169.9651411618608,265.3879129917249,147.2591851857714,37.02264283115444,638.9724938972199,568.5751643807886,703.3860672779663,0.1916598994047215,804.6256822059667,0.0,0.0,3,186.9330279451504,0.0,0.7662738064431113,False,False
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om270,2.1106438736511017,0.1792424553388447,24.69667904674718,133.9213263527743,1119.9982255620178,172.29384498161616,186.77298719600878,131.32926675458737,214.81145746121865,118.97718783852281,34.77784116224031,60.81770319265482,3.3397492959566493,113.6702432616485,0.9706189658777351,7739.152613977429,0.0,0.0,48,77.6352964815305,0.15555555555555556,0.004501009832825642,True,False
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om90,1.050659626986774,0.6344168082244122,29.088080547072764,304.181491997004,393.3579742117696,238.00621839962054,256.06461681449576,225.0445746182006,583.0451725689171,146.09279121786696,231.59874320025995,611.6786345591627,478.46810713293036,742.0,0.35516427610117207,862.612939587275,0.26666666666666666,0.2111111111111111,2,398.74892512480534,0.0,0.6448357238988279,False,False
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om0,1.269406475469784,0.2375899354619284,28.026243916472637,321.7504772178388,522.3913251700362,221.87139234808154,239.61417360011433,182.66178446513987,298.8006697333027,146.9855213861457,61.66538980822235,636.9018421455708,546.1515351364487,726.3245169839201,0.24806126963143693,786.9446839193955,0.09444444444444444,0.09444444444444444,2,217.37721495905515,0.0,0.7360532818550523,False,False
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om180,4.407060756649733,0.6815637547424745,24.37464446046163,181.84143996545117,3379.2354231481777,115.01810325334583,124.77037189586613,90.96375223842529,232.18784529178652,76.19045174966229,130.8532973627769,6.978743268528469,0.0,60.141051855818304,1.0,5387.211129063052,0.0,0.0,34,23.940440777317935,0.8055555555555556,-0.22073097428334454,True,False
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om270,1.2969587111280605,0.3004725576209002,18.130946379063992,230.8269508527696,539.4908932193988,221.40252341279484,238.58621595428798,162.90936233557898,292.53003873556884,147.58458872941878,77.15446444386374,670.20527823681,596.3237362117949,727.3575535255206,0.1801504867566185,873.6829716068248,0.16666666666666666,0.15555555555555556,3,212.07665194864884,0.0,0.8036708035199391,False,False
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om90,1.9054050351748664,0.1017926506893112,33.349598677670315,171.71729317744752,960.6735977948832,179.1667153913796,194.938277776358,147.9363530741578,218.6965563421514,143.43478598615076,21.906541877386914,407.26889034563277,319.54835968985094,519.1804223719264,0.384513849289688,1013.8265351788906,0.0,0.0,4,94.20745663785266,0.0,0.43065816669791235,False,False
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om270__om0,2.056134432454769,0.1658015663118481,27.536594497460072,131.9554188983275,1076.8920013316426,173.8784270209856,188.74863844725064,135.8855224269609,218.56147186922976,127.5917587034219,33.05129505650228,113.16479322234446,20.32549559775237,187.58356577722517,0.8916456486284572,6746.460383023594,0.0,0.0,50,81.61089107187478,0.0,0.027392851209908864,False,False
