run,t_end_days,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,days_per_year_after,bound_after
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,115317.0,0.9998034496770202,0.01652574388691028,23.455291394606874,283.70218158014455,1.2724309932693156,0.14802957778375395,22.308072069902202,141.3897021003132,524.2629280138665,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,115317.0,0.9997962855110509,0.016528760198591116,23.45529278511996,283.7104593270209,1.1609965140046894,0.2712830388759514,21.568774546726893,187.0793154009193,456.92420402824064,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,115317.0,0.9997892858009033,0.016531717636956964,23.455292050059956,283.7181830529603,0.8670418180609165,0.306074081003354,23.412151135416806,230.0485648579973,294.88851391044926,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,115317.0,0.9998045470386675,0.016526825217763982,23.455278256902634,283.6977481436909,0.7126726173071757,0.44461427461098413,24.63575351962269,246.55133242139345,219.75203169541024,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,115317.0,0.999796437508408,0.016528690728782103,23.455290952703624,283.70998161783905,1.4437831612991696,0.21902111512028968,21.52280020306777,141.46205282458726,633.6519109199864,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,115317.0,0.9998041597968146,0.01652644930941081,23.45528297281035,283.69932250620167,0.6289017544362863,0.5667499018280256,24.637213799200126,254.14771193269354,182.16796203218325,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,115317.0,0.999789277072535,0.01653172110391209,23.45529216000389,283.71821160888953,0.5913460801346785,0.6379363457500438,22.61473472220027,270.7643024726689,166.0964590075818,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,115317.0,0.9998057418618345,0.016527861901885623,23.45526394653297,283.6930094523689,0.6317414828764584,0.5216645060766804,23.075609112841313,300.12017916473167,183.40318929921605,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,115317.0,0.9997986424641968,0.016530867314004667,23.45526438412606,283.7010430657385,0.7234247493364551,0.31034327365658815,23.557638230091257,304.15814207269773,224.74385918947274,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,115317.0,0.9997986730299782,0.016530861260118008,23.45526394436211,283.7009299330057,0.730504441611478,0.272924402776433,24.790628606491506,296.0315614075648,228.05105288721097,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,115317.0,0.9997975433687833,0.016525123031409867,23.455320161289638,283.71565249422724,0.7292233098388674,0.26436382097624855,25.537808440981532,293.0404019088087,227.45139469386586,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,115317.0,0.9997946226000062,0.016526359884549743,23.455319427488384,283.7188018683397,0.7421654369816182,0.24645586092611144,25.811523533862964,295.77442764056093,233.5333332552369,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,115317.0,0.9997986890163684,0.01653084883683038,23.455263797758718,283.70089073936856,0.7613888806351929,0.2236550216367942,25.83459252884904,301.5094325059433,242.66524790132897,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,115317.0,0.9997987209891507,0.01653082399027766,23.45526350455196,283.7008123519175,0.785013923172031,0.20058432503999246,25.677431095501944,310.2573262070263,254.04685897968602,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,115317.0,0.9997986933647152,0.0165308410328255,23.45526379774718,283.70088962733666,0.8133167581718908,0.17266461269022443,25.32099347151846,319.1261037888396,267.9090421986754,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,115317.0,0.9997987188149771,0.016530827892279897,23.45526350455775,283.7008129079521,1.36563275147749,0.19408556663168303,20.76464795313089,120.8780170601663,582.9062018030027,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om300,115317.0,0.9997915896082044,0.016533830289304892,23.455264455193063,283.708974122819,0.8536975760273431,0.17380479271689359,24.592695113396985,327.19970107214954,288.1070348595154,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om315,115317.0,0.9998033841964862,0.01652576380051243,23.455292274148135,283.70240902663903,0.9223639826862141,0.1470886688414102,21.979190776676443,84.357231496785,323.5573681744255,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om330,115317.0,0.9998041348702335,0.01652647135880284,23.455283177259908,283.699377852874,0.9812860840438029,0.12149352781926138,25.136537109664342,95.11108388541564,355.05141710494047,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om345,115317.0,0.9997892741312407,0.01653171011840731,23.455292306573728,283.7182474761483,1.103900217039929,0.06560152222211726,23.189820199702027,120.08800261812601,423.6356680613778,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om45,115317.0,0.9997941096806973,0.016526572484155122,23.455318987547102,283.7193050697458,0.7831957026485891,0.4123082917950415,3.6154393230947313,350.34895563004636,253.16474919285335,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om60,115317.0,0.9997993553011206,0.01653056120123734,23.455263797952714,283.7001473992466,-8.945359354127463,1.1130685088426742,5.956806304308721,143.00664691931735,,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om75,115317.0,0.9997986235364594,0.016530868748629364,23.455264677298143,283.70111811687184,3.922581442871471,0.7472335623320807,15.991715025709858,153.3760009672406,2837.629853354802,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om90,115317.0,0.9998010869271333,0.016523639139172083,23.45531986912646,283.7116199831047,1.7946543801044716,0.4552184367774081,19.181230098303008,157.9183246979168,878.1506461456669,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om0,115317.0,0.9998057418618345,0.016527861901885623,23.45526394653297,283.6930094523689,0.6317414828764584,0.5216645060766804,23.075609112841313,300.12017916473167,183.40318929921605,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om105,115317.0,0.9997986933647152,0.0165308410328255,23.45526379774718,283.70088962733666,0.8133167581718908,0.17266461269022443,25.32099347151846,319.1261037888396,267.9090421986754,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om120,115317.0,0.9997915896082044,0.016533830289304892,23.455264455193063,283.708974122819,0.8536976231471841,0.1738048858919949,24.592695112541634,327.1997282464929,288.10705871261905,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om135,115317.0,0.9998033841964862,0.01652576380051243,23.455292274148135,283.70240902663903,0.9223639826862141,0.1470886688414102,21.979190776676443,84.357231496785,323.5573681744255,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om15,115317.0,0.9997986424641968,0.016530867314004667,23.45526438412606,283.7010430657385,0.7233800395794475,0.3101778777377415,23.557406793493644,304.1582592868105,224.7230247735472,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om150,115317.0,0.9998041348702335,0.01652647135880284,23.455283177259908,283.699377852874,0.9812861989678938,0.12149379414489545,25.136536795997237,95.11105515205482,355.0514794781309,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om165,115317.0,0.9997892741312407,0.01653171011840731,23.455292306573728,283.7182474761483,1.1038993433534028,0.0655984731863596,23.189804908642348,120.0875816507002,423.63516512909786,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om180,115317.0,0.9998034496770202,0.01652574388691028,23.455291394606874,283.70218158014455,1.2724309932693156,0.14802957778375395,22.308072069902202,141.3897021003132,524.2629280138665,True
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om195,115317.0,0.999796437508408,0.016528690728782103,23.455290952703624,283.70998161783905,1.4437831612991696,0.21902111512028968,21.52280020306777,141.46205282458726,633.6519109199864,True
