run,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,bound_after,days_per_year_after
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,1.5236028232660095,0.09338804470298233,25.178055389062806,250.46100512448692,1.0159172344354486,0.5732185937907044,30.871524929886643,194.9268078581595,True,374.00928525061886
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,1.5236019447576337,0.0933904533438542,25.17805465178242,250.46116094529896,1.8438876505698467,0.20170645800949896,34.39134287185169,310.79945250912505,True,914.5270924907986
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,1.523600907688554,0.09339291477443899,25.17805433942591,250.46125555566584,2.205555041206619,0.2935663376272489,34.856957837787824,331.09596719706906,True,1196.3871586385458
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,1.5235995730723186,0.09338810902156099,25.17805904795905,250.46030051028424,2.9104688157737826,0.44377098047821095,35.544595597834565,344.09925152399353,True,1813.5908580470282
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,1.523601813204212,0.09339048496642387,25.178054686979248,250.46110928436298,0.9506161654453185,0.6217000420003331,39.2133381338862,196.79524631554932,True,338.53430599906363
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,1.5235996614157317,0.09338813311892871,25.17805886361946,250.46029950631296,4.577192029174782,0.6328852854028534,34.6675344548063,352.90918665433475,True,3576.7912283314968
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,1.5235975891953146,0.09339300123776796,25.17805816585901,250.46052457006516,7.992309434978123,0.7965610769070064,33.528297433763036,356.66831415243723,True,8252.838134798916
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,1.5235961179822861,0.09338823978484131,25.178063209519554,250.45951667784612,11.940183045231864,0.8793991333121056,36.291041351335835,359.81340303578423,True,15069.93466052982
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,1.5235952100748393,0.09339066622757454,25.178062759976182,250.45966176849112,12.366962681359379,0.8735259888408013,30.951073723823125,7.839553313318641,True,15885.082244943378
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,1.5235953318269744,0.09339064053721687,25.178062820692652,250.45970984026997,10.052379638557513,0.8501342137247363,28.066164892132477,16.85618648467186,True,11641.21244877689
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,1.523595301388938,0.09339064695980022,25.178062805513534,250.4596978223227,6.206084131444978,0.8169065306035993,34.80838824109877,28.436436665460878,True,5647.04671448702
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,1.5236085591218278,0.09339031628859512,25.178046886987627,250.46262159953733,5.685863023478275,0.7004109698788804,19.87789422754261,39.37150778230923,True,4952.100864921174
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,1.5235953074765451,0.0933906456752832,25.17806280854936,250.45970022591206,3.982386680854292,0.2529302393060724,20.138595628241404,15.210194770360367,True,2902.752665176342
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,1.5235951566238595,0.09339066977363258,25.178062531718055,250.45964010241158,2.906102385111226,0.29724646699854473,15.10330987664291,88.60388157893546,True,1809.5111297967514
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,1.5235952831261175,0.09339065081335224,25.178062796406063,250.45969061155503,2.1931960404932327,0.36176345942118127,17.68670747169889,97.35084146510331,True,1186.3451853613042
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,1.523595270950904,0.09339065338238767,25.17806279033444,250.45968580437705,0.9772313592049202,0.5527141709730748,48.94806836893652,199.8748018184228,True,352.85070117563015
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om300,1.5235942024089646,0.09339310985772659,25.17806215987382,250.4597671806701,1.9454832960958248,0.40800850041635833,21.28241607585344,131.75117986805748,True,991.1426204914762
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om315,1.5236028963180182,0.09338802928972706,25.178055425492996,250.46103396863498,1.592194578430932,0.32946381746874187,19.37969277527028,153.95140340464437,True,733.8192554840541
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om330,1.52359960940141,0.09338812977784472,25.1780591357617,250.4602974241567,1.3285047707330135,0.5417592665519648,26.172309748898883,178.90655527019086,True,559.293239540009
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om345,1.5235975452444634,0.09339301824367022,25.17805834554366,250.46050777898495,1.1364274946039288,0.48639333642743676,26.01058382319857,189.01953614857032,True,442.4941067370717
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om45,1.5235953000514655,0.0933906549744246,25.17806300644924,250.459697856106,1.1566444932155304,0.3283550677157064,48.50679031556064,215.61198945710504,True,454.3543957667903
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om60,1.5235952900581768,0.0933906648154718,25.17806320306843,250.45969447228643,1.3200108017870729,0.22299410877098094,40.41643714932978,240.39720169334362,True,553.9379506748313
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om75,1.5235952831261175,0.09339065081335224,25.178062796406063,250.45969061155503,1.415311365876093,0.19524769934108804,36.23992844785829,251.899130216122,True,614.9968394227976
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om90,1.5236085015927299,0.09339028577284712,25.178046656646224,250.4625904563258,1.5868049296021756,0.1699920072010582,34.76780493474285,278.0481890024253,True,730.0963946595201
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om0,1.5235961179822861,0.09338823978484131,25.178063209519554,250.45951667784612,11.940183045231864,0.8793991333121056,36.291041351335835,359.81340303578423,True,15069.93466052982
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om105,1.5235952831261175,0.09339065081335224,25.178062796406063,250.45969061155503,2.193206250926136,0.36176518843679145,17.686696895115258,97.35108162447081,True,1186.3534699230506
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om120,1.5235942024089646,0.09339310985772659,25.17806215987382,250.4597671806701,1.9454832960958248,0.40800850041635833,21.28241607585344,131.75117986805748,True,991.1426204914762
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om135,1.5236028963180182,0.09338802928972706,25.178055425492996,250.46103396863498,1.592194578430932,0.32946381746874187,19.37969277527028,153.95140340464437,True,733.8192554840541
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om15,1.5235952100748393,0.09339066622757454,25.178062759976182,250.45966176849112,12.36696267786751,0.8735260177112413,30.951071678034012,7.839551280602155,True,15885.08223821554
